                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7302,                 2.9975,                  1.458,                0.00827,                0.39353,                0.28411,                0.16422,                 1.1363,                 3.3785,                 1.2044,               0.070612,              0.0032653,              0.0032653
                      1,                 1.3922,                 1.5174,                 1.1364,                0.62664,                0.30223,                0.42247,                0.26561,                 1.1201,                 2.0937,                  1.131,               0.040286,               0.006272,               0.006272
                      2,                 1.3401,                 1.3162,                 1.0963,                0.83687,                0.44076,                0.56129,                0.34246,                 1.1361,                 1.4274,                 1.1464,               0.009629,              0.0089487,              0.0089487
                      3,                 1.2942,                 1.2036,                 1.0772,                0.69424,                0.62148,                0.65894,                 0.4349,                 1.0899,                 1.1097,                 1.1071,               0.008515,               0.008515,               0.008515
                      4,                 1.3143,                 1.1239,                 1.0825,                0.82921,                0.55133,                0.67007,                0.43475,                 1.1224,                 1.1512,                 1.0908,               0.008515,               0.008515,               0.008515
                      5,                 1.2476,                 1.0712,                 1.0565,                0.65986,                0.77942,                0.71963,                0.47761,                 1.0996,                 1.0706,                 1.0767,                0.00802,                0.00802,                0.00802
                      6,                 1.2247,                0.97187,                 1.0328,                0.75021,                0.66756,                0.72657,                0.48528,                 1.0584,                 1.0026,                 1.0462,               0.007525,               0.007525,               0.007525
                      7,                  1.203,                0.91971,                 1.0188,                0.86301,                0.64917,                0.76468,                 0.5163,                0.99104,                0.87345,                  1.012,                0.00703,                0.00703,                0.00703
                      8,                 1.1958,                 0.9026,                 1.0196,                0.84952,                0.64842,                0.77553,                 0.5149,                 1.0732,                0.84179,                  1.032,               0.006535,               0.006535,               0.006535
                      9,                 1.1598,                0.85752,                 1.0113,                0.74571,                0.73767,                0.73449,                0.48884,                 1.0138,                0.85014,                0.99494,                0.00604,                0.00604,                0.00604
                     10,                 1.1628,                0.89314,                 1.0001,                0.75781,                0.70421,                0.73508,                0.48285,                 1.0919,                0.83003,                 1.0516,               0.005545,               0.005545,               0.005545
                     11,                 1.1446,                0.85212,                  1.002,                0.72986,                0.71544,                0.73733,                0.52122,                 1.0212,                0.79214,                 1.0167,                0.00505,                0.00505,                0.00505
                     12,                 1.1259,                0.82927,                0.99321,                0.73039,                0.79998,                0.79334,                0.54357,                 1.0488,                0.80477,                 1.0221,               0.004555,               0.004555,               0.004555
                     13,                 1.1323,                0.78989,                0.99626,                0.81574,                0.75996,                0.79109,                0.52714,                 1.0675,                0.70251,                 1.0284,                0.00406,                0.00406,                0.00406
                     14,                 1.0913,                0.75361,                0.98557,                0.96898,                0.71579,                0.87146,                 0.5968,                 1.0471,                0.70194,                 1.0355,               0.003565,               0.003565,               0.003565
                     15,                 1.0998,                0.73721,                0.97787,                 0.9421,                0.78553,                0.88492,                0.58697,                 1.0286,                0.67278,                 1.0071,                0.00307,                0.00307,                0.00307
                     16,                 1.0792,                0.71763,                0.97536,                0.89965,                0.72481,                0.82215,                0.54878,                 1.0516,                0.68401,                 1.0062,               0.002575,               0.002575,               0.002575
                     17,                 1.0895,                0.71116,                0.96731,                0.75734,                0.79954,                 0.8415,                0.58938,                0.98332,                0.65371,                0.98796,                0.00208,                0.00208,                0.00208
                     18,                 1.0492,                0.67828,                0.95929,                0.84351,                0.84102,                0.87839,                0.62007,                0.97242,                0.63118,                0.98888,               0.001585,               0.001585,               0.001585
                     19,                 1.0327,                0.65984,                0.95712,                0.74587,                0.89575,                 0.8818,                0.60763,                0.97967,                0.59662,                0.99259,                0.00109,                0.00109,                0.00109
